epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65143,3.65435,3.73985,2.91193,0.01281,0.17857,0.01035,0.00512,3.10217,3.68723,2.36333,1e-05,1e-05,0.09901
2,2.1498,3.5152,3.70777,2.82516,0.01529,0.11111,0.01995,0.01012,3.03002,3.66503,2.27186,2.9703e-05,2.9703e-05,0.0970297
3,2.58228,3.94288,3.77712,3.10148,0.01529,0.11111,0.01995,0.01012,3.03002,3.66503,2.27186,4.901e-05,4.901e-05,0.095049
4,3.00908,3.63638,3.71421,2.93688,0.01596,0.11111,0.01473,0.00724,3.03999,3.64147,2.22467,6.7921e-05,6.7921e-05,0.0930679
5,3.40729,3.62895,3.68638,2.83063,0.01596,0.11111,0.01473,0.00724,3.03999,3.64147,2.22467,8.6436e-05,8.6436e-05,0.0910864
6,3.86516,3.79943,3.7617,2.9885,0.01731,0.19444,0.01696,0.00568,3.19046,3.61777,2.25392,0.000104555,0.000104555,0.0891046
7,4.29487,3.66898,3.63529,2.9549,0.01731,0.19444,0.01696,0.00568,3.19046,3.61777,2.25392,0.000122278,0.000122278,0.0871223
8,4.70478,3.58359,3.69621,2.91641,0.01731,0.19444,0.01696,0.00568,3.19046,3.61777,2.25392,0.000139605,0.000139605,0.0851396
9,5.13348,3.46648,3.53943,2.79992,0.00849,0.09921,0.00518,0.00235,3.12836,3.60605,2.18484,0.000156536,0.000156536,0.0831565
10,5.57301,3.72453,3.73987,2.90148,0.00849,0.09921,0.00518,0.00235,3.12836,3.60605,2.18484,0.000173071,0.000173071,0.0811731
11,6.00433,3.65158,3.70383,2.94715,0.00849,0.09921,0.00518,0.00235,3.12836,3.60605,2.18484,0.00018921,0.00018921,0.0791892
12,6.43972,3.81528,3.69796,3.08792,0.00849,0.09921,0.00518,0.00235,3.12836,3.60605,2.18484,0.000204953,0.000204953,0.077205
13,6.95001,3.26535,3.52746,2.53768,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.0002203,0.0002203,0.0752203
14,7.50796,2.7317,3.51265,2.11803,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.000235251,0.000235251,0.0732353
15,8.07928,2.50869,3.43977,1.94029,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.000249806,0.000249806,0.0712498
16,8.62387,2.37135,3.37836,1.80041,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.000263965,0.000263965,0.069264
17,9.16207,2.69704,3.34575,2.11352,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.000277728,0.000277728,0.0672777
18,9.70928,2.38409,3.37033,1.85761,0.03009,0.03968,0.0243,0.00906,2.63201,3.56222,1.9701,0.000291095,0.000291095,0.0652911
19,10.2535,2.39173,3.25399,1.8808,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000304066,0.000304066,0.0633041
20,10.8375,2.09868,3.08381,1.63399,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000316641,0.000316641,0.0613166
21,11.4291,1.98949,2.9403,1.66217,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.00032882,0.00032882,0.0593288
22,11.9986,2.01963,3.11707,1.64038,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000340603,0.000340603,0.0573406
23,12.5717,2.21552,3.27364,1.75095,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.00035199,0.00035199,0.055352
24,13.1551,2.18833,3.04951,1.7478,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000362981,0.000362981,0.053363
25,13.7426,1.83382,3.01323,1.54742,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000373576,0.000373576,0.0513736
26,14.3321,2.05089,3.05989,1.66936,0.03078,0.16667,0.08244,0.03164,2.03723,3.34435,1.69882,0.000383775,0.000383775,0.0493838
27,14.9141,2.12259,3.06458,1.70068,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000393578,0.000393578,0.0473936
28,15.4596,1.71543,2.74693,1.49746,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000402985,0.000402985,0.045403
29,16.0005,1.67334,2.62079,1.45902,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000411996,0.000411996,0.043412
30,16.5586,1.67508,2.65542,1.44802,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000420611,0.000420611,0.0414206
31,17.1096,1.6145,2.65667,1.42146,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.00042883,0.00042883,0.0394288
32,17.6577,1.78404,2.69395,1.47662,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000436653,0.000436653,0.0374367
33,18.2055,1.98118,2.96067,1.5564,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.00044408,0.00044408,0.0354441
34,18.7477,1.77362,2.70409,1.45912,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000451111,0.000451111,0.0334511
35,19.2974,1.61433,2.66557,1.44481,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000457746,0.000457746,0.0314577
36,19.845,1.7744,2.66097,1.48107,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000463985,0.000463985,0.029464
37,20.374,1.80721,2.84579,1.49542,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000469828,0.000469828,0.0274698
38,20.9483,1.83978,2.80519,1.49252,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000475275,0.000475275,0.0254753
39,21.5131,1.83028,2.71776,1.54815,0.03598,0.21032,0.06392,0.02774,1.96166,3.16741,1.57649,0.000480326,0.000480326,0.0234803
40,22.0953,1.59248,2.4836,1.45023,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000484981,0.000484981,0.021485
41,22.6889,1.57729,2.28035,1.33154,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.00048924,0.00048924,0.0194892
42,23.2661,1.64537,2.46986,1.4305,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000493103,0.000493103,0.0174931
43,23.8723,1.6159,2.46327,1.39377,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.00049657,0.00049657,0.0154966
44,24.4492,1.8145,2.54974,1.46845,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000499641,0.000499641,0.0134996
45,25.018,1.68072,2.52696,1.41174,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000502316,0.000502316,0.0115023
46,25.5751,1.59002,2.35078,1.36636,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000504595,0.000504595,0.0095046
47,26.1421,1.49382,2.37067,1.35241,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000506478,0.000506478,0.00750648
48,26.7413,1.72878,2.45233,1.4246,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000507965,0.000507965,0.00550797
49,27.3194,1.63559,2.29942,1.3776,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000509056,0.000509056,0.00350906
50,27.9114,1.54134,2.31263,1.36849,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000509751,0.000509751,0.00150975
51,28.5123,1.59848,2.39323,1.35059,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.000505,0.000505,0.000505
52,29.1001,1.64769,2.37335,1.35441,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.0004951,0.0004951,0.0004951
53,29.6921,1.59269,2.31574,1.35667,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.0004852,0.0004852,0.0004852
54,30.272,1.48932,2.30512,1.30551,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.0004753,0.0004753,0.0004753
55,30.8544,1.77806,2.4239,1.41313,0.17517,0.14683,0.14726,0.05125,1.95405,2.79077,1.58208,0.0004654,0.0004654,0.0004654
56,31.464,1.49068,2.20835,1.33487,0.21298,0.20238,0.17773,0.06782,1.89681,2.53193,1.53798,0.0004555,0.0004555,0.0004555
